checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,steering,10.0,Reconstruction_MASE,6,40,0.24434824800000002,0.24168439766250002,0.24723459691250005
pre_released,steering,10.0,Reconstruction_MASE,8,40,0.21493515175000005,0.21301391145624998,0.21697409753125
pre_released,steering,10.0,Reconstruction_R2,10,40,0.9426246449351311,0.9412022763490677,0.9439486168324946
pre_released,steering,10.0,Reconstruction_R2,12,40,0.9447904661297798,0.9431760779395699,0.9463933712989092
pre_released,steering,10.0,Reconstruction_R2,14,40,0.9372075602412224,0.934939150698483,0.939390588440001
pre_released,steering,10.0,Reconstruction_R2,16,40,0.9531930163502693,0.9519969263672828,0.9543366810306907
pre_released,steering,10.0,Reconstruction_R2,18,40,0.9404095530509948,0.9384902783110738,0.9422340124100447
pre_released,steering,10.0,Reconstruction_R2,2,40,0.9400159239768981,0.9379709838703275,0.9419247499480843
pre_released,steering,10.0,Reconstruction_R2,4,40,0.9404375180602074,0.9388331486657262,0.9421271123737097
pre_released,steering,10.0,Reconstruction_R2,6,40,0.9337760299444199,0.9315898958593607,0.9359270882979035
pre_released,steering,10.0,Reconstruction_R2,8,40,0.9519038707017898,0.9505607286095619,0.9531898593530059
pre_released,steering,20.0,Number_of_submovements_per_second,10,40,4.275556957349181,4.197819755086675,4.354276812728494
pre_released,steering,20.0,Number_of_submovements_per_second,12,40,4.466933023184538,4.36514947861433,4.568450472224503
pre_released,steering,20.0,Number_of_submovements_per_second,14,40,4.439930330961943,4.37223517941311,4.51309401942417
pre_released,steering,20.0,Number_of_submovements_per_second,16,40,3.860231453552842,3.8067188132554293,3.910086011979729
pre_released,steering,20.0,Number_of_submovements_per_second,18,40,4.289004608988762,4.19122403729707,4.389176271948964
pre_released,steering,20.0,Number_of_submovements_per_second,2,40,4.4271083772182465,4.3417875719256696,4.511611942201853
pre_released,steering,20.0,Number_of_submovements_per_second,4,40,3.979270862415433,3.8492802774533628,4.10228964490816
pre_released,steering,20.0,Number_of_submovements_per_second,6,40,4.767119944095612,4.673751628026366,4.863245754316449
pre_released,steering,20.0,Number_of_submovements_per_second,8,40,4.0991009417921305,4.024054017663002,4.171860929718241
pre_released,steering,20.0,Reconstruction_MASE,10,40,0.17274313275000003,0.17043754766875002,0.17517536825625
pre_released,steering,20.0,Reconstruction_MASE,12,40,0.1686508315,0.16615386185,0.17115676959999998
pre_released,steering,20.0,Reconstruction_MASE,14,40,0.18473925175,0.182772349625,0.18679959001875002
pre_released,steering,20.0,Reconstruction_MASE,16,40,0.14663630100000002,0.14424549352500002,0.1489963747625
pre_released,steering,20.0,Reconstruction_MASE,18,40,0.1808313215,0.17812811685,0.1835595045625
pre_released,steering,20.0,Reconstruction_MASE,2,40,0.17499508075,0.17305709156250002,0.1770596619
pre_released,steering,20.0,Reconstruction_MASE,4,40,0.1758206845,0.17328158764999999,0.17843466896875002
pre_released,steering,20.0,Reconstruction_MASE,6,40,0.1853322865,0.18247096599374998,0.1883194240375
pre_released,steering,20.0,Reconstruction_MASE,8,40,0.148979624,0.14695419282500002,0.15108605036875
pre_released,steering,20.0,Reconstruction_R2,10,40,0.9625782713294029,0.9610553527250886,0.963947019316256
pre_released,steering,20.0,Reconstruction_R2,12,40,0.9647092819213867,0.9633958237245679,0.9659266117587685
pre_released,steering,20.0,Reconstruction_R2,14,40,0.9580130964517594,0.9566102500259877,0.9593873471021652
pre_released,steering,20.0,Reconstruction_R2,16,40,0.9735766261816025,0.9725466643273831,0.974527434259653
pre_released,steering,20.0,Reconstruction_R2,18,40,0.9575145408511162,0.9558776642009615,0.9591875986382365
pre_released,steering,20.0,Reconstruction_R2,2,40,0.9616671726107597,0.960508155040443,0.9628518604487181
pre_released,steering,20.0,Reconstruction_R2,4,40,0.9572941213846207,0.955575805529952,0.9589809323847294
pre_released,steering,20.0,Reconstruction_R2,6,40,0.9528150796890259,0.9510201187804341,0.9547371695190667
pre_released,steering,20.0,Reconstruction_R2,8,40,0.9712209820747375,0.9694049149006605,0.9726103286072612
pre_released,steering,inf,Number_of_submovements_per_second,10,40,5.931150063872337,5.843882032390684,6.027916509658098
