checkpoint,domain,group,variant,mean,lower,upper,n
ft_A,organic,object_moving/snrinf,"per dataset, mean (mine)",0.9741073618708178,0.9672910878784023,0.978528680675663,5
ft_A,organic,pointing/snrinf,"per dataset, mean (mine)",0.982116959128296,0.9775290407706052,0.9861348174046725,2
ft_A,organic,steering/snrinf,"per dataset, mean (mine)",0.9725943990780507,0.9692062428337522,0.9764002936659381,9
ft_A,organic,tablet_writing/snrinf,"per dataset, mean (mine)",0.858726448145695,0.8398869280237704,0.8757720556808636,38
ft_A,organic,whacamole/snrinf,"per dataset, mean (mine)",0.9294405944584869,0.9090971776167862,0.945697240694426,128
ft_A,organic,ALL/snrinf,"pooled+balanced, median (paper)",0.9607736298441887,0.9562077231705188,0.964361310005188,192
ft_A,organic,ALL/snrinf,"pooled+balanced, mean",0.9232626655367203,0.9145038801245391,0.9309647102374583,192
ft_A2,organic,Fitts/snr10.0,"per dataset, mean (mine)",0.87635079014441,0.8420550011331216,0.907100499176886,10
ft_A2,organic,crank/snr10.0,"per dataset, mean (mine)",0.8925066822289955,0.8705221499316395,0.9115422208211384,5
ft_A2,organic,object_moving/snr10.0,"per dataset, mean (mine)",0.9274242358030751,0.9111769845243544,0.9411245026160031,5
ft_A2,organic,pointing/snr10.0,"per dataset, mean (mine)",0.9645821982447523,0.9541121326386929,0.9714518121094443,2
ft_A2,organic,steering/snr10.0,"per dataset, mean (mine)",0.94403962950618,0.9399305471102707,0.948460893612355,9
ft_A2,organic,tablet_writing/snr10.0,"per dataset, mean (mine)",0.8069746643747203,0.7895979117718526,0.8232763877953403,33
ft_A2,organic,whacamole/snr10.0,"per dataset, mean (mine)",0.8974941254053265,0.8778965853736735,0.9140960087650455,128
ft_A2,organic,ALL/snr10.0,"pooled+balanced, median (paper)",0.9322702898383141,0.9279155999422073,0.9370808005332947,187
ft_A2,organic,ALL/snr10.0,"pooled+balanced, mean",0.901355110894423,0.8945153266640513,0.9079788916960492,187
ft_A2,organic,Fitts/snr20.0,"per dataset, mean (mine)",0.888316392167937,0.8500826599425636,0.917538913723547,10
ft_A2,organic,crank/snr20.0,"per dataset, mean (mine)",0.929131862612674,0.9074997449759394,0.9453281825175509,5
