checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
pre_rerun,steering,10.0,Reconstruction_MASE,9,0.23407328,0.22698170275000001,0.239370891,0.20978894200000003,0.25201684525,0.20773800448750004,0.2545308915,0.20895405576250003,0.2529822402625
pre_rerun,steering,10.0,Reconstruction_R2,9,0.9470434263348579,0.9443361103534699,0.9490853890776634,0.9391847848892212,0.9561471045017242,0.937239739485085,0.9572003975883125,0.9385225699096917,0.9567028100788594
pre_rerun,steering,20.0,Number_of_submovements_per_second,9,4.1049949284642935,3.96952492184937,4.306592009961605,3.7591296080499887,4.572130780667067,3.6933222549967466,4.666190914157778,3.7312622271012517,4.610588168911636
pre_rerun,steering,20.0,Reconstruction_MASE,9,0.16432500249999998,0.15884839625,0.1685559295,0.139168501,0.17690174925,0.137258088675,0.17953707396875002,0.13836364311875002,0.17788518205625
pre_rerun,steering,20.0,Reconstruction_R2,9,0.9647787347435951,0.9640590935945511,0.9695050239562988,0.9574912145733834,0.9767294451594353,0.9558244517445564,0.9773423337191344,0.9568595903366804,0.9769567797705532
pre_rerun,steering,inf,Number_of_submovements_per_second,9,5.584661811590195,5.336073070764542,5.757836747914553,4.962440092116594,5.826786775141954,4.9119911338202655,5.931926705315709,4.942887710686773,5.865777841955423
pre_rerun,steering,inf,Reconstruction_MASE,9,0.15413367125,0.14740901074999999,0.15815023250000002,0.1289597268,0.16582612000000002,0.126200208345,0.1682250762375,0.12786572955875,0.166748455425
pre_rerun,steering,inf,Reconstruction_R2,9,0.9671258956193924,0.9652822986245155,0.9717239275574684,0.9602551341056824,0.9774243667721748,0.9589062367752195,0.9784249925240874,0.9597227080166341,0.9778586852923036
pre_rerun,tablet_writing,10.0,Number_of_submovements_per_second,44,7.610049716203042,7.254450675018679,7.941668928600848,4.335345448926091,8.879953543929492,3.878928168443963,9.334754403023158,5.147314119372855,8.830947381608626
pre_rerun,tablet_writing,10.0,Reconstruction_MASE,44,0.3829264320955882,0.361831901409091,0.41368065868783244,0.29549432291666666,0.5186738805882354,0.27197591088541667,0.5450459597279412,0.30760448847272726,0.5143426003823528
pre_rerun,tablet_writing,10.0,Reconstruction_R2,44,0.8033827764820769,0.782206129846402,0.8209881762641048,0.7047689188929165,0.872248363494873,0.6750928745988537,0.8864889170974493,0.7112935724503854,0.8686873278891047
pre_rerun,tablet_writing,20.0,Number_of_submovements_per_second,44,8.280199259041465,7.888765190242295,8.614365873776157,5.3567013423889875,9.25153811247303,4.678793008904904,10.582550346851349,6.069052168232871,9.329662310726503
pre_rerun,tablet_writing,20.0,Reconstruction_MASE,44,0.33049438420454547,0.3072429840454545,0.3613810455752841,0.2600352479166667,0.4629600623529412,0.22810319011458333,0.4939913324632353,0.26409053883636374,0.4569053646029411
pre_rerun,tablet_writing,20.0,Reconstruction_R2,44,0.8412169627167961,0.8213791966191184,0.8583384402853282,0.7541302144527435,0.8974145412445068,0.7269220359623432,0.9174502763276299,0.7549226969480515,0.8956952671029351
pre_rerun,tablet_writing,inf,Number_of_submovements_per_second,44,8.646561305551606,8.357918803340787,9.019667890938846,6.426265966147184,9.610539302229881,5.787564242724329,11.924267292022705,6.741700173574774,9.711193229250897
pre_rerun,tablet_writing,inf,Reconstruction_MASE,44,0.3230291985481283,0.3002854175,0.35109533208180144,0.24017426604166667,0.45327098176470587,0.20607859289583333,0.48439707647058816,0.2556273038590909,0.44674839746323536
pre_rerun,tablet_writing,inf,Reconstruction_R2,44,0.8448866543019731,0.8271842648728619,0.8621251710384459,0.7590475170051351,0.9036051154136657,0.7313843753407983,0.9275258779525757,0.7587658416260692,0.9029729808460583
pre_rerun,whacamole,10.0,Number_of_submovements_per_second,181,3.960432708263397,3.2656826823949814,4.416905343532562,1.3202663138508797,5.277649462223053,1.3202663138508797,5.277649462223053,1.5551643446087835,4.96631920337677
pre_rerun,whacamole,10.0,Reconstruction_MASE,181,0.3385275,0.3134032,0.3743021,0.2413805,0.8888224,0.2413805,0.8888224,0.2587255,0.69714123
pre_rerun,whacamole,10.0,Reconstruction_R2,181,0.9131861925125122,0.8687249422073364,0.9293081164360046,0.5751850605010986,0.9636248350143432,0.5751850605010986,0.9636248350143432,0.6272475719451904,0.9506955146789552
pre_rerun,whacamole,20.0,Number_of_submovements_per_second,181,4.509985148906708,3.708487004041672,4.950513392686844,1.164940819144249,6.599556505680084,1.164940819144249,6.599556505680084,1.649060994386673,5.868782848119736
pre_rerun,whacamole,20.0,Reconstruction_MASE,181,0.2580554,0.23621625,0.29642206,0.16544603,0.7738863,0.16544603,0.7738863,0.18781993,0.6310382
pre_rerun,whacamole,20.0,Reconstruction_R2,181,0.9315083622932434,0.8910245299339294,0.9530931115150452,0.5967544317245483,0.979314923286438,0.5967544317245483,0.979314923286438,0.6448472738265991,0.972290575504303
pre_rerun,whacamole,inf,Number_of_submovements_per_second,181,5.094810873270035,4.12674754858017,5.53571417927742,1.2925295904278755,7.62467622756958,1.2925295904278755,7.62467622756958,1.7922298237681389,6.429556310176849
pre_rerun,whacamole,inf,Reconstruction_MASE,181,0.24016783,0.21887521,0.27860764,0.14616561,0.7637997,0.14616561,0.7637997,0.16857912,0.6294185
pre_rerun,whacamole,inf,Reconstruction_R2,181,0.9363129138946532,0.8964748382568359,0.9557504057884216,0.5993052124977112,0.9805474281311036,0.5993052124977112,0.9805474281311036,0.6471904516220093,0.9752749800682068
pre_rerun_s1000,Fitts,10.0,Number_of_submovements_per_second,10,1.7915020456024806,1.6279250337562012,2.094325063307123,1.4024573157432896,2.3155561743381745,1.3655054994210303,2.392318422142934,1.3888497454752757,2.342521223963962
pre_rerun_s1000,Fitts,10.0,Reconstruction_MASE,10,0.3079854488759814,0.27852592295604095,0.32288556085648146,0.22855677655913978,0.37962738331018525,0.22000499447619046,0.3985709512256944,0.2256353996935484,0.3851871405787037
pre_rerun_s1000,Fitts,10.0,Reconstruction_R2,10,0.8633130471721728,0.8512836758875185,0.8925030395029039,0.7759710383360032,0.933635157831986,0.7629221801232132,0.9400027599798003,0.7717489332029664,0.9359508127798134
